id,owner,deal_stage,updated_at,created_at,age_in_days,deferred_reason,not_interested_reasons,no_requirement_reasons,next_reach_out_date,comments,source_of_the_deal,head_office_city,country,number_of_outlets
2002577774,AS,Dormant Dev Complete Partners,03-18-2021 17:11:00,9-26-2018 18:00:00,906,,,,,,,Bangalore,India,1
2002591226,AS,Actively Onboaring Merchants,02/12/2021 12:56,9-28-2018 16:03:00,904,,,,,,Web Form,Pune,India,1
2002593730,KS,Deal Deferred,01-14-2021 6:24:00,09/29/18 16:08,903,,,,,,Web Form,Bangalore,India,1
2002593736,KS,Deal Deferred,01-14-2021 6:24:00,09/29/18 16:11,903,,,,,,Web Form,Delhi NCR,India,1
2002619723,KS,Deal Deferred,01-14-2021 6:24:00,10/04/2018 14:53,898,,,,,,Cold call/email,Others,India,2
2002619833,AIB,Lost,09/10/2020 11:48,10/04/2018 15:46,469,,,,,,POS Partners,Bangalore,India,1
2002640658,DJ,Lost,02-14-2020 12:05:00,10/12/2018 18:44,174,,,,,,POS Partners,Bangalore,India,1
2002659134,DJ,Deal Deferred,02/14/20 12:05,10/15/18 18:28,887,,,,,,POS Partners,Others,India,1
2002661502,JM,Won,02/10/2021 12:56,10/16/18 15:40,181,,,,,,Chat,Bangalore,India,1
2002663589,DJ,Won,12/03/2018 21:59,10/17/18 11:58,12,,,,,,Cold call/email,Lucknow,India,10
2002726706,DJ,Deal Deferred,01/14/21 6:24,10/23/18 15:43,879,,,,,,Web Form,Delhi NCR,India,1
2002741629,AIB,Won,09/10/2020 11:49,10/31/18 14:45,0,,,,,,Referral,Delhi NCR,India,3
2002748678,KS,Deal Deferred,01-14-2021 6:24:00,11/05/2018 12:44,866,,,,,,Web Form,Bangalore,India,1
2002757905,KS,Lost,09-14-2020 15:59:00,11/09/2018 11:01,63,,,,,,POS Partners,Delhi NCR,India,1
2002757967,DJ,Deal Deferred,01-14-2021 6:24:00,11/09/2018 11:41,862,,,,,,Cold call/email,Bangalore,India,2
2002758386,JM,Lost,03/11/2020 13:42,11/09/2018 16:08,97,,,,,,Cold call/email,Bangalore,India,1
2002771583,KS,Won,09/14/20 15:59,11/16/18 18:23,4,,,,,,Web Form,Hyderabad,India,1
2002774447,DJ,Lost,02-14-2020 12:05:00,11/19/18 14:12,357,,,,,,Chat,Others,India,1
2002777315,MPS,Lost,06/08/2020 13:44,11-20-2018 17:01:00,290,,,,,,Web Form,Bangalore,India,1
2002785506,MPS,Deal Deferred,07/07/2020 13:55,11-26-2018 11:53:00,845,,,,,,Chat,Others,India,1
2002789241,DJ,Lost,02-14-2020 12:05:00,11-27-2018 19:36:00,115,,,,,,Chat,Others,India,1
2002791349,AS,Actively developing,03-18-2021 19:20:00,11-28-2018 19:52:00,843,,,,,,Chat,Bangalore,India,1
2002798690,KS,Deal Deferred,01-14-2021 6:25:00,12/03/2018 13:08,838,,,,,,Web Form,Bangalore,India,1
2002801446,JM,Lost,03/11/2020 13:42,12/04/2018 12:57,55,,,,,,POS Partners,Hyderabad,India,1
2002803959,MPS,Deal Deferred,07/07/2020 13:55,12/05/2018 12:48,836,,,,,,Web Form,Bangalore,India,1
2002804316,JM,Won,03/03/2021 16:41,12/05/2018 13:25,35,,,,,,Web Form,Kochi,India,1
2002804510,KS,Deal Deferred,01-14-2021 6:25:00,12/05/2018 13:59,836,,,,,,Web Form,Bangalore,India,1
2002807426,KS,Deal Deferred,01-14-2021 6:25:00,12/06/2018 16:54,835,,,,,,Chat,Kochi,India,1
2002813518,JM,Deal Deferred,07/10/2020 17:50,12/10/2018 15:39,831,,,,,,Web Form,Delhi NCR,India,1
2002826498,JM,Deal Deferred,07/10/2020 17:49,12/11/2018 12:06,830,,,,,,POS Partners,Bangalore,India,20
2002843819,KS,Lost,09-14-2020 16:09:00,12/21/18 17:55,34,,,,,,Web Form,Bangalore,India,1
2002845954,KS,Lost,09-14-2020 16:09:00,12-24-2018 15:30:00,268,,,,,,Web Form,Bangalore,India,1
2002848389,DJ,Lost,02-14-2020 12:05:00,12-26-2018 18:26:00,211,,,,,,Web Form,Bangalore,India,1
2002860365,JM,Lost,09-21-2020 18:45:00,01/04/2019 12:12,112,,,,,,,Others,India,1
2002860369,JM,Lost,03/11/2020 13:42,01/04/2019 12:14,110,,,,,,Chat,Bangalore,India,1
2002872652,KS,Lost,09-14-2020 16:38:00,01/10/2019 21:39,12,,,,,,Web Form,Bangalore,India,1
2002884499,DJ,Lost,02-14-2020 12:05:00,01-16-2019 14:32:00,226,,,,,,Web Form,Chennai,India,1
2002900565,DJ,Deal Deferred,02/14/20 12:05,01-22-2019 13:34:00,788,,,,,,Cold call/email,Chennai,India,1
2002903790,DJ,Lost,02-14-2020 12:05:00,01-23-2019 18:22:00,6,,,,,,Cold call/email,Chennai,India,1
2002905614,DJ,Deal Deferred,02-14-2020 12:05:00,01/24/19 12:34,786,,,,,,Chat,Delhi NCR,India,1
2002906209,DJ,Lost,02-14-2020 12:05:00,01/24/19 17:09,0,,,,,,Web Form,Delhi NCR,India,1
2002925594,AIB,Won,09/10/2020 11:49,01-28-2019 13:33:00,44,,,,,,Chat,Delhi NCR,India,1
2002931732,,Contact made,9-19-2019 17:52:00,01-29-2019 14:08:00,781,,,,,,POS Partners,Pune,India,4
2002939300,KS,Won,11-19-2020 9:36:00,01-30-2019 14:06:00,92,,,,,,POS Partners,Bangalore,India,20
2002942440,MJ,Deal Deferred,03-15-2021 23:24:00,01-31-2019 18:17:00,779,,,,,,Chat,Delhi NCR,India,8
2002953300,DJ,Deal Deferred,2-14-2020 12:05:00,02/04/2019 12:12,775,,,,,,Web Form,Bangalore,India,1
2002954378,KS,Deal Deferred,01-14-2021 6:25:00,02/04/2019 19:38,775,,,,,,Web Form,Bangalore,India,1
2002957323,KS,Lost,09-14-2020 16:38:00,02/05/2019 18:23,94,,,,,,Web Form,Kolkata,India,1
2002973565,KS,Deal Deferred,01-14-2021 6:25:00,02/11/2019 12:01,768,,,,,,Web Form,Bangalore,India,2
2003006950,KS,Won,09-14-2020 16:38:00,02/12/2019 13:13,51,,,,,,Chat,Bangalore,India,1
2003097423,AS,Dormant Dev Complete Partners,03-18-2021 19:19:00,02-21-2019 11:18:00,758,,,,,,Chat,Delhi NCR,India,1
2003098289,AIB,Won,09/10/2020 11:49,02-21-2019 18:24:00,112,,,,,,POS Partners,Delhi NCR,India,13
2003115862,KS,Lost,09-14-2020 16:41:00,02-26-2019 14:02:00,50,,,,,,Web Form,Bangalore,India,1
2003150395,KS,Deal Deferred,01-14-2021 6:25:00,03/06/2019 16:53,745,,,,,,Web Form,Others,India,1
2003172011,KS,Deal Deferred,01-14-2021 6:25:00,03/14/19 13:30,737,,,,,,Web Form,Chennai,India,1
2003204995,JM,Deal Deferred,07/03/2020 18:06,03-28-2019 19:02:00,723,,,,,,Chat,Bangalore,India,1
2003205020,JM,Deal Deferred,07/03/2020 18:06,03-28-2019 19:12:00,723,,,,,,Chat,Bangalore,India,1
2003218104,KS,Lost,9-14-2020 16:48:00,04/04/2019 13:25,140,,,,,,Chat,Coimbatore,India,1
2003224615,DJ,Deal Deferred,02/14/20 12:05,04/08/2019 12:42,712,,,,,,Web Form,Chandigarh,India,1
2003235260,KS,Won,09-14-2020 16:48:00,04/12/2019 11:33,-1,,,,,,Web Form,Delhi NCR,India,2
2003240673,KS,Won,09-14-2020 16:48:00,04-15-2019 12:58:00,0,,,,,,Web Form,Bangalore,India,7
2003251165,DS,Deal Deferred,3-15-2021 21:59:00,04-19-2019 17:48:00,701,No Response,,,44462,not responding on calls or emails,Web Form,Kolkata,India,1
2003253631,KS,Lost,09/14/20 16:48,04-22-2019 16:38:00,4,,,,,,Chat,Others,India,1
2003253749,KS,Deal Deferred,01-14-2021 6:25:00,04-22-2019 18:52:00,698,,,,,,Chat,Chennai,India,1
2003284065,DJ,Deal Deferred,1-14-2021 6:25:00,05/06/2019 18:42,684,,,,,,Web Form,Bangalore,India,1
2003295543,SS,Lost,06/11/2020 18:21,05/11/2019 11:45,346,,,,,,Web Form,Delhi NCR,India,1
2003298502,SS,Deal Deferred,11-30-2020 13:19:00,05/13/19 18:46,677,,,,,,Web Form,Chennai,India,15
2003309467,SS,Deferred,01/20/21 13:03,05/17/19 11:50,673,Not Interested,Due to COVID,,,Said not interested and disconnected the call,POS Partners,Chennai,India,2
2003325677,SS,Right Contact Made,02/09/2021 12:56,05/22/19 19:59,668,,,,,,Cold call/email,Hyderabad,India,2
2003389781,SS,Won,09/06/2020 20:35,06/14/19 14:14,-1,,,,,,Web Form,Delhi NCR,India,10
2003393174,PN,Lost,1-30-2021 11:43:00,6-17-2019 10:34:00,499,,,,,,Cold call/email,Gandhi Nagar,India,7
2003397538,MJ,Deal Deferred,11/29/20 14:21,6-18-2019 15:17:00,641,,,,,,Cold call/email,Pune,India,44
2003410057,MJ,Deal Deferred,03/09/2021 22:31,6-24-2019 10:49:00,635,,,,,,Cold call/email,,India,15
2003425383,KS,Deal Deferred,01/14/21 6:25,6-28-2019 16:39:00,631,,,,,,Web Form,Bangalore,India,1
2003430117,DJ,Deal Deferred,2-14-2020 12:05:00,07/01/2019 15:45,628,,,,,,Chat,Pune,India,1
2003436216,KS,Won,09/14/20 16:54,07/03/2019 11:58,-2,,,,,,Chat,Bangalore,India,33
2003567967,DJ,Deal Deferred,02-14-2020 12:06:00,8-13-2019 18:05:00,585,,,,,,Chat,Delhi NCR,India,1
2003577438,DJ,Lost,02/14/20 12:06,8-16-2019 14:06:00,59,,,,,,Web Form,Bangalore,India,4
2003614890,JM,Deal Deferred,07/01/2020 11:45,8-28-2019 18:56:00,570,,,,,,Web Form,Delhi NCR,India,1
2003691228,SS,Won,06/09/2020 11:52,9-20-2019 20:07:00,0,,,,,,POS Partners,Delhi NCR,India,1
2003707131,AIB,New,02/03/2021 15:27,9-27-2019 12:08:00,540,,,,,,Web Form,Bangalore,India,7
2003711109,JM,Deferred,09/09/2020 16:42,9-30-2019 12:14:00,537,,,,,,Cold call/email,Delhi NCR,India,1
2003711805,SS,Deferred,01/06/2021 18:54,9-30-2019 17:49:00,537,,,,,,Cold call/email,Bangalore,India,3
2003723381,JM,Deal Deferred,07/01/2020 11:45,10/01/2019 12:36,536,,,,,,Cold call/email,Amritsar,India,1
2003723471,JM,Deal Deferred,07/01/2020 11:53,10/01/2019 13:27,536,,,,,,Cold call/email,Ludhiana,India,1
2003724045,MJ,Deal Deferred,10/09/2020 09:28,10/01/2019 18:26,536,,,,,,Cold call/email,Chandigarh,India,1
2003728437,SS,Deferred,01-15-2021 19:06:00,10/03/2019 14:23,534,,,,,,Cold call/email,Bangalore,India,13
2003728571,SS,Right Contact Made,02-16-2021 12:27:00,10/03/2019 15:39,534,,,,,,Cold call/email,Bangalore,India,5
2003741949,MJ,Deal Deferred,10/09/2020 09:29,10/10/2019 18:25,527,,,,,,Chat,,India,5
2003752655,PN,Contact made,01-28-2021 15:35:00,10/15/19 18:49,522,,,,,,Cold call/email,Kolkata,India,5
2003755036,JM,Deal Deferred,07/01/2020 11:45,10-16-2019 15:49:00,521,,,,,,Web Form,Bangalore,India,3
2003755782,AR,Deal Deferred,03/10/2021 12:24,10-16-2019 20:22:00,521,Opted For Competitor,,,44511,Happy with PetPooja hence is not interested for the next 2 years,Web Form,Bangalore,India,21
2003768997,PN,Deal Deferred,01-30-2021 11:46:00,10-21-2019 19:03:00,516,,,,,,Cold call/email,Pune,India,5
2003769004,DS,Lost,03/11/2021 17:22,10/21/19 19:06,507,,,,,,Web Form,Kolkata,India,1
2003769010,PN,Contact made,3-18-2021 16:09:00,10/21/19 19:11,516,,,,,,Cold call/email,Bangalore,India,7
2003771991,JM,Deal Deferred,07/01/2020 11:45,10/22/19 17:14,515,,,,,,Cold call/email,Indore,India,3
2003775537,MJ,Won,10/09/2020 09:29,10/23/19 19:33,271,,,,,,Cold call/email,Pune,India,12
2003775604,JM,Contact Made,08/11/2020 13:26,10/23/19 19:48,514,,,,,,Cold call/email,Pune,India,12
2003788971,JM,Deal Deferred,07/01/2020 11:45,10/28/19 11:52,509,,,,,,Web Form,Bangalore,India,1
2003789060,AIB,Won,09/10/2020 18:19,10/28/19 12:52,50,,,,,,Chat,Delhi NCR,India,20
2003789427,DS,New,03/17/21 19:49,10/28/19 15:43,509,,,,,,Cold call/email,Kolkata,India,7
2003789576,DS,Deal Deferred,3-18-2021 21:09:00,10/28/19 16:25,509,No Response,,,44272,not responding on calls or emails,Cold call/email,Kolkata,India,9
2003789628,JM,Lost,08-28-2020 19:25:00,10/28/19 16:45,66,,,,,,Cold call/email,Bangalore,India,11
2003790261,MJ,Deal Deferred,11/02/2020 22:11,10/28/19 18:41,509,,,,,,Cold call/email,Delhi NCR,India,3
2003790266,MJ,Deal Deferred,11/08/2020 22:13,10-28-2019 18:43:00,509,,,,,,Cold call/email,Delhi NCR,India,3
2003790279,MJ,Demo Done,03/20/21 10:36,10-28-2019 18:46:00,509,,,,,,Cold call/email,Delhi NCR,India,3
2003793084,DS,Deal Deferred,02/09/2021 22:15,10-29-2019 13:30:00,508,,,,,,Cold call/email,Lucknow,India,6
2003815526,JHM,Won,03/03/2021 10:17,11/06/2019 16:11,455,,,,,,Cold call/email,Chennai,India,1
2003817065,PN,Contact made,01/28/21 15:35,11/07/2019 00:10,500,,,,,,Cold call/email,Vadodara,India,3
2003817871,PN,Deal Deferred,1-30-2021 11:46:00,11/07/2019 12:01,499,,,,,,Web Form,Delhi NCR,India,1
2003825758,PN,Contact made,01/28/21 15:35,11/11/2019 09:45,495,,,,,,Cold call/email,Indore,India,8
2003826258,PN,Deal Deferred,01-30-2021 11:46:00,11/11/2019 16:14,495,,,,,,Cold call/email,Pune,India,8
2003826462,DS,Won,10-20-2020 21:41:00,11/11/2019 18:00,344,,,,,,Chat,Pune,India,2
2003838742,SS,Contact Made,02/09/2021 12:57,11-14-2019 19:22:00,492,,,,,,Cold call/email,Chennai,India,15
2003855250,JM,Lost,08/28/20 19:25,11-21-2019 17:57:00,68,,,,,,Web Form,Chennai,India,1
2003864777,PN,Deal Deferred,2-17-2021 16:37:00,11-26-2019 19:38:00,480,No Requirement,,,,,Cold call/email,Ahmedabad,India,45
2003875802,DS,Deal Deferred,01/05/2021 13:37,12/01/2019 17:51,475,,,,,,Cold call/email,Ahmedabad,India,10
2003876236,MJ,Deal Deferred,11/22/20 22:21,12/02/2019 12:34,474,,,,,,Cold call/email,Delhi NCR,India,27
2003879648,JHM,New,02/08/2021 17:08,12/03/2019 13:05,473,,,,,,Ola Database,Vijayawada,India,8
2003880105,MJ,Deal Deferred,11/02/2020 16:14,12/03/2019 17:55,473,,,,,,Cold call/email,Delhi NCR,India,11
2003882119,MJ,Deal Deferred,10/22/20 23:36,12/04/2019 13:09,472,,,,,,Cold call/email,Delhi NCR,India,8
2003882308,AIB,Won,09/10/2020 11:41,12/04/2019 15:32,0,,,,,,Web Form,Delhi NCR,India,17
2003885226,JM,Deferred,11/24/20 17:46,12/05/2019 17:58,471,,,,,,Cold call/email,Bhubaneswar,India,4
2003885366,MJ,Lost,1-29-2021 0:01:00,12/05/2019 19:15,421,,,,,,Cold call/email,Delhi NCR,India,4
2003949972,MJ,Won,10/09/2020 09:31,12/09/2019 15:18,78,,,,,,Cold call/email,Delhi NCR,India,3
2003949992,MJ,Deal Deferred,10/09/2020 09:31,12/09/2019 15:26,467,,,,,,Cold call/email,Delhi NCR,India,3
2003950071,JM,Deferred,09-15-2020 19:41:00,12/09/2019 16:16,467,,,,,,Cold call/email,Lucknow,India,6
2003950239,DS,Deal Deferred,02/08/2021 13:00,12/09/2019 17:38,467,No Response,,,44307,not picking up calls or answering to texts,Cold call/email,Kolkata,India,10
2003959692,SS,Contact Made,02/09/2021 12:56,12-13-2019 12:18:00,463,,,,,,Cold call/email,Hyderabad,India,4
2003960158,MJ,New,01/06/2021 21:45,12-13-2019 18:17:00,463,,,,,,Cold call/email,Mumbai,India,4
2003960172,DS,Deal Deferred,01/27/21 18:37,12/13/19 18:24,463,No Requirement,,Low Order Volume,44273,says no need right now. will re-look at the details on email. if there is a need will call back.,Cold call/email,Mumbai,India,10
2003963128,DS,Deal Deferred,12/07/2020 18:43,12/16/19 12:40,460,,,,,,Cold call/email,Jaipur,India,5
2003963737,PN,Lost,01-30-2021 11:46:00,12/16/19 20:39,94,,,,,,Referral,Pune,India,1
2003965491,JM,Deferred,10-21-2020 0:44:00,12/17/19 13:14,459,,,,,,Cold call/email,Nagpur,India,5
2003974954,MJ,Deal Deferred,11/23/20 22:03,12/23/19 16:55,453,,,,,,Cold call/email,Delhi NCR,India,6
2003976715,PN,Deal Deferred,1-30-2021 11:46:00,12/24/19 15:12,452,,,,,,Cold call/email,Pune,India,13
2003976729,JM,Contact Made,08/11/2020 12:48,12/24/19 15:20,452,,,,,,Cold call/email,Kanpur,India,5
2003976752,JM,Contact Made,08/11/2020 12:54,12-24-2019 15:45:00,452,,,,,,Cold call/email,Bhopal,India,7
2003976801,PN,Contact made,01/28/21 15:36,12/24/19 16:48,452,,,,,,Cold call/email,Hyderabad,India,5
2003978136,JM,Contact Made,08/11/2020 16:49,12/26/19 13:12,450,,,,,,Cold call/email,Mumbai,India,12
2003978156,DS,Deal Deferred,11-25-2020 16:16:00,12/26/19 13:51,450,,,,,,Cold call/email,Mumbai,India,16
2003978195,JM,Contact Made,08/11/2020 13:25,12/26/19 15:23,450,,,,,,Cold call/email,Mumbai,India,7
2003979432,JM,Deal Deferred,08/28/20 19:23,12-27-2019 13:10:00,449,,,,,,Cold call/email,Hyderabad,India,4
2003979665,PN,Lost,03-18-2021 11:32:00,12-27-2019 15:04:00,447,,,,,,Cold call/email,Bangalore,India,18
2003979683,PN,Contact made,1-28-2021 15:36:00,12-27-2019 15:18:00,449,,,,,,Cold call/email,Bangalore,India,7
2003979688,SS,Deferred,10/07/2020 13:15,12-27-2019 15:20:00,449,,,,,,Cold call/email,Bangalore,India,10
2003982138,DS,Deal Deferred,01/25/21 19:00,12/30/19 11:44,446,No Response,,,44301,not responding on calls or emails,Cold call/email,Surat,India,7
2003982352,PN,Deal Deferred,03/10/2021 16:18,12/30/19 15:29,446,,,,,,Cold call/email,Chennai,India,5
2003982376,DJ,New,12/22/20 18:17,12/30/19 15:50,446,,,,,,Cold call/email,Mumbai,India,4
2003982403,MJ,Contact made,03/04/2021 22:22,12-30-2019 16:21:00,446,,,,,,Cold call/email,Mumbai,India,5
